kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 103 : 4574 27294 0 0 0 0 0 0 25 
_1.ptx 105 : 25 175 0 0 0 0 0 0 0 
_1.ptx 106 : 25 151 0 0 0 0 0 0 0 
_1.ptx 107 : 25 150 0 0 0 0 0 0 0 
_1.ptx 109 : 4549 27294 0 0 0 0 0 0 0 
_1.ptx 110 : 4549 36392 0 0 0 0 0 0 0 
_1.ptx 111 : 4549 27132 0 0 0 0 0 0 27 
_1.ptx 113 : 27 189 0 0 0 0 0 0 0 
_1.ptx 114 : 27 163 0 0 0 0 0 0 0 
_1.ptx 115 : 27 162 0 0 0 0 0 0 0 
_1.ptx 117 : 4522 27132 0 0 0 0 0 0 0 
_1.ptx 118 : 4522 36176 0 0 0 0 0 0 0 
_1.ptx 119 : 4522 26970 0 0 0 0 0 0 27 
_1.ptx 121 : 27 189 0 0 0 0 0 0 0 
_1.ptx 122 : 27 162 0 0 0 0 0 0 0 
_1.ptx 128 : 4600 23000 0 0 0 184 184 0 0 
_1.ptx 130 : 4600 23480 0 0 0 184 184 0 0 
_1.ptx 132 : 4600 23000 0 0 0 184 184 0 0 
_1.ptx 134 : 4600 23480 0 0 0 184 184 0 0 
_1.ptx 137 : 47104 288000 0 0 0 0 0 0 0 
_1.ptx 156 : 47104 282624 0 0 0 0 0 0 0 
_1.ptx 157 : 47104 282624 0 0 0 0 0 0 0 
_1.ptx 158 : 47104 871424 0 0 0 0 0 0 0 
_1.ptx 159 : 47104 282624 0 0 0 0 0 0 0 
_1.ptx 160 : 47104 526368 0 0 0 0 0 0 0 
_1.ptx 161 : 47104 770048 128 0 0 0 0 0 0 
_1.ptx 162 : 47104 383936 0 0 0 0 0 0 0 
_1.ptx 163 : 47104 270214 0 0 0 0 0 0 92 
_1.ptx 165 : 4600 32200 0 0 0 0 0 0 0 
_1.ptx 166 : 4600 46270 0 0 0 0 0 0 0 
_1.ptx 167 : 4600 13800 0 0 0 0 0 0 0 
_1.ptx 168 : 4600 50672 0 0 0 0 0 0 0 
_1.ptx 169 : 4600 139240 256 0 0 184 184 0 0 
_1.ptx 171 : 4600 14470 0 0 0 0 0 0 0 
_1.ptx 172 : 4600 50600 0 0 0 0 0 0 0 
_1.ptx 173 : 4600 693180 256 0 0 184 184 0 0 
_1.ptx 175 : 4600 15442 0 0 0 0 0 0 0 
_1.ptx 176 : 4600 50600 0 0 0 0 0 0 0 
_1.ptx 177 : 4600 699828 256 0 0 184 184 0 0 
_1.ptx 178 : 4600 14200 0 0 0 0 0 0 0 
_1.ptx 179 : 4600 50600 0 0 0 0 0 0 0 
_1.ptx 180 : 4600 14280 0 0 0 0 0 0 0 
_1.ptx 181 : 4600 50600 0 0 0 0 0 0 0 
_1.ptx 182 : 4600 701876 256 0 0 184 184 0 0 
_1.ptx 183 : 4600 27600 0 0 0 0 0 0 0 
_1.ptx 185 : 4600 13800 0 0 0 0 0 0 0 
_1.ptx 187 : 4600 36800 0 0 0 0 0 0 0 
_1.ptx 188 : 4600 0 0 0 0 0 0 0 0 
_1.ptx 190 : 4600 13800 0 0 0 0 0 0 0 
_1.ptx 192 : 4600 33532 0 0 0 0 0 0 0 
_1.ptx 193 : 4600 693288 256 0 0 184 184 0 0 
_1.ptx 194 : 4600 27600 0 0 0 0 0 0 0 
_1.ptx 195 : 4600 50600 0 0 0 0 0 0 0 
_1.ptx 196 : 4600 27600 0 0 0 0 0 0 0 
_1.ptx 197 : 4600 27600 0 0 0 0 0 0 0 
_1.ptx 198 : 4600 27600 0 0 0 0 0 0 0 
